dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1804-11-01,7.132,2.099,,,,,,
1804-12-01,2.224,2.597,,,,,,
1805-01-01,2.822,2.512,,,,,,
1805-02-01,2.557,2.455,,,,,,
1805-03-01,5.76,1.498,,,,,,
1805-04-01,8.123,1.291,,,,,,
1805-05-01,11.104,1.216,,,,,,
1805-06-01,14.027,1.368,,,,,,
1805-07-01,14.702,1.151,,,,,,
1805-08-01,15.27,1.021,,,,,,
1805-09-01,12.039,1.831,,,,,,
1805-10-01,7.636,1.603,,,,,,
1805-11-01,4.555,2.399,,,,,,
1805-12-01,4.158,1.922,,,,,,
1806-01-01,2.917,2.167,,,,,,
1806-02-01,2.937,2.079,,,,,,
1806-03-01,4.691,1.557,,,,,,
1806-04-01,8.032,1.772,,,,,,
1806-05-01,11.503,1.426,,,,,,
1806-06-01,12.418,0.837,,,,,,
1806-07-01,13.923,1.505,,,,,,
1806-08-01,14.593,1.361,,,,,,
1806-09-01,12.549,1.753,,,,,,
1806-10-01,8.426,1.113,,,,,,
1806-11-01,5.231,1.542,,,,,,
1806-12-01,3.989,1.729,,,,,,
1807-01-01,1.055,2.393,,,,,,
1807-02-01,4.094,2.677,,,,,,
1807-03-01,4.788,2.253,,,,,,
1807-04-01,6.971,1.26,,,,,,
1807-05-01,9.331,0.93,,,,,,
1807-06-01,13.293,1.271,,,,,,
1807-07-01,14.138,1.605,,,,,,
1807-08-01,13.799,1.525,,,,,,
1807-09-01,12.615,1.18,,,,,,
1807-10-01,8.857,1.193,,,,,,
1807-11-01,6.015,1.588,,,,,,
1807-12-01,4.421,1.232,,,,,,
1808-01-01,1.131,4.111,,,,,,
1808-02-01,2.142,2.175,,,,,,
1808-03-01,4.361,3.02,,,,,,
1808-04-01,7.482,1.459,,,,,,
1808-05-01,9.357,2.068,,,,,,
1808-06-01,13.429,1.585,,,,,,
1808-07-01,14.491,1.676,,,,,,
1808-08-01,13.047,1.227,,,,,,
1808-09-01,12.711,1.688,,,,,,
1808-10-01,7.972,1.48,,,,,,
1808-11-01,4.512,1.772,,,,,,
1808-12-01,0.887,1.701,,,,,,
1809-01-01,0.208,2.59,,,,,,
1809-02-01,0.856,2.818,,,,,,
1809-03-01,3.425,1.666,,,,,,
1809-04-01,7.833,2.498,,,,,,
1809-05-01,9.243,1.304,,,,,,
1809-06-01,12.998,1.348,,,,,,
1809-07-01,12.656,1.481,,,,,,
1809-08-01,12.905,1.667,,,,,,
1809-09-01,10.967,1.633,,,,,,
1809-10-01,8.65,3.554,,,,,,
1809-11-01,3.099,2.478,,,,,,
1809-12-01,2.077,2.588,,,,,,
1810-01-01,0.888,3.258,,,,,,
1810-02-01,2.391,2.403,,,,,,
1810-03-01,5.014,4.457,,,,,,
1810-04-01,6.533,2.229,,,,,,
1810-05-01,9.069,1.907,,,,,,
1810-06-01,11.934,2.281,,,,,,
1810-07-01,12.551,2.016,,,,,,
1810-08-01,12.041,1.212,,,,,,
1810-09-01,9.532,1.247,,,,,,
1810-10-01,6.632,1.989,,,,,,
1810-11-01,3.827,2.64,,,,,,
1810-12-01,2.66,2.093,,,,,,
1811-01-01,1.374,2.323,,,,,,
1811-02-01,0.45,3.475,,,,,,
1811-03-01,3.701,1.808,,,,,,
1811-04-01,6.302,1.422,,,,,,
1811-05-01,9.443,1.663,,,,,,
1811-06-01,12.137,1.706,,,,,,
1811-07-01,11.956,1.383,,,,,,
1811-08-01,13.326,2.289,,,,,,
1811-09-01,10.368,1.931,,,,,,
1811-10-01,6.58,2.863,,,,,,
1811-11-01,3.503,1.802,,,,,,
1811-12-01,3.174,2.484,,,,,,
1812-01-01,0.977,4.545,,,,,,
1812-02-01,0.131,3.062,,,,,,
1812-03-01,2.044,1.805,,,,,,
1812-04-01,6.95,1.984,,,,,,
1812-05-01,9.58,1.279,,,,,,
1812-06-01,12.005,1.174,,,,,,
1812-07-01,14.355,1.463,,,,,,
1812-08-01,15.018,1.746,,,,,,
1812-09-01,10.185,2.052,,,,,,
1812-10-01,7.593,1.793,,,,,,
1812-11-01,4.369,2.585,,,,,,
1812-12-01,1.348,2.139,,,,,,
1813-01-01,-1.385,2.191,,,,,,
1813-02-01,2.258,1.958,,,,,,
1813-03-01,1.596,1.622,,,,,,
1813-04-01,8.182,1.486,,,,,,
1813-05-01,11.367,3.826,,,,,,
1813-06-01,13.242,1.138,,,,,,
1813-07-01,14.521,0.877,,,,,,
1813-08-01,13.097,0.995,,,,,,
1813-09-01,12.339,1.743,,,,,,
1813-10-01,8.666,1.565,,,,,,
1813-11-01,6.825,1.315,,,,,,
1813-12-01,2.171,1.79,,,,,,
1814-01-01,1.502,2.622,,,,,,
1814-02-01,1.689,2.121,,,,,,
1814-03-01,2.664,2.259,,,,,,
1814-04-01,7.193,1.5,,,,,,
1814-05-01,9.417,2.321,,,,,,
1814-06-01,12.818,0.989,,,,,,
1814-07-01,12.532,1.852,,,,,,
1814-08-01,12.668,1.453,,,,,,
1814-09-01,10.676,1.332,,,,,,
1814-10-01,7.374,1.847,,,,,,
1814-11-01,6.739,3.428,,,,,,
1814-12-01,5.829,4.298,,,,,,
1815-01-01,2.051,2.033,,,,,,
1815-02-01,2.273,2.386,,,,,,
1815-03-01,3.663,2.328,,,,,,
1815-04-01,6.588,2.341,,,,,,
1815-05-01,9.845,1.812,,,,,,
1815-06-01,11.162,1.242,,,,,,
1815-07-01,14.394,2.371,,,,,,
1815-08-01,13.209,1.348,,,,,,
1815-09-01,11.151,1.503,,,,,,
1815-10-01,7.137,2.295,,,,,,
1815-11-01,4.178,1.732,,,,,,
1815-12-01,1.221,2.207,,,,,,
1816-01-01,2.737,2.724,,,,,,
1816-02-01,0.676,2.947,,,,,,
1816-03-01,3.905,1.928,,,,,,
1816-04-01,7.606,2.129,,,,,,
1816-05-01,10.594,1.804,,,,,,
1816-06-01,11.79,1.087,,,,,,
1816-07-01,12.267,1.538,,,,,,
1816-08-01,12.57,1.257,,,,,,
1816-09-01,10.39,0.707,,,,,,
1816-10-01,5.699,3.583,,,,,,
1816-11-01,4.058,3.81,,,,,,
1816-12-01,0.958,2.801,,,,,,
1817-01-01,1.54,2.451,,,,,,
1817-02-01,3.649,2.547,,,,,,
1817-03-01,4.569,2.153,,,,,,
1817-04-01,7.889,1.836,,,,,,
1817-05-01,9.476,1.394,,,,,,
1817-06-01,11.287,1.25,,,,,,
1817-07-01,12.072,1.057,,,,,,
1817-08-01,13.403,1.307,,,,,,
1817-09-01,8.812,1.178,,,,,,
1817-10-01,6.203,1.963,,,,,,
1817-11-01,4.638,1.691,,,,,,
1817-12-01,0.17,1.673,,,,,,
1818-01-01,1.204,1.775,,,,,,
1818-02-01,0.755,1.912,,,,,,
1818-03-01,5.565,2.177,,,,,,
1818-04-01,9.901,2.662,,,,,,
1818-05-01,11.247,1.457,,,,,,
1818-06-01,13.825,2.26,,,,,,
1818-07-01,13.51,1.9,,,,,,
1818-08-01,13.166,0.996,,,,,,
1818-09-01,10.578,1.063,,,,,,
1818-10-01,6.654,1.704,,,,,,
1818-11-01,5.035,2.807,,,,,,
1818-12-01,2.507,1.236,,,,,,
1819-01-01,1.014,1.984,,,,,,
1819-02-01,2.286,1.995,,,,,,
1819-03-01,2.931,2.93,,,,,,
1819-04-01,7.029,1.344,,,,,,
1819-05-01,9.851,1.112,,,,,,
1819-06-01,12.526,1.539,,,,,,
1819-07-01,13.038,1.17,,,,,,
1819-08-01,12.557,1.124,,,,,,
1819-09-01,10.894,1.052,,,,,,
1819-10-01,9.312,1.223,,,,,,
1819-11-01,5.15,1.627,,,,,,
1819-12-01,1.842,1.883,,,,,,
1820-01-01,1.236,3.9,,,,,,
1820-02-01,2.145,2.004,,,,,,
1820-03-01,4.618,1.945,,,,,,
1820-04-01,8.7,1.168,,,,,,
1820-05-01,11.62,1.256,,,,,,
1820-06-01,13.323,0.912,,,,,,
1820-07-01,13.311,1.375,,,,,,
1820-08-01,11.978,1.317,,,,,,
1820-09-01,11.16,1.176,,,,,,
1820-10-01,7.588,1.605,,,,,,
1820-11-01,4.443,1.074,,,,,,
1820-12-01,1.273,1.693,,,,,,
1821-01-01,2.999,1.549,,,,,,
1821-02-01,3.758,2.018,,,,,,
1821-03-01,5.462,1.275,,,,,,
1821-04-01,7.739,0.858,,,,,,
1821-05-01,11.3,1.392,,,,,,
1821-06-01,12.608,1.424,,,,,,
1821-07-01,13.039,1.289,,,,,,
1821-08-01,13.145,1.482,,,,,,
1821-09-01,10.178,1.219,,,,,,
1821-10-01,8.535,0.924,,,,,,
1821-11-01,5.601,1.802,,,,,,
1821-12-01,2.717,1.278,,,,,,
1822-01-01,2.759,2.416,,,,,,
1822-02-01,4.465,1.83,,,,,,
1822-03-01,7.787,2.016,,,,,,
1822-04-01,8.278,1.295,,,,,,
1822-05-01,10.486,1.159,,,,,,
1822-06-01,13.067,0.899,,,,,,
1822-07-01,14.212,1.068,,,,,,
1822-08-01,13.215,0.896,,,,,,
1822-09-01,10.695,0.869,,,,,,
1822-10-01,7.774,1.163,,,,,,
1822-11-01,4.501,1.345,,,,,,
1822-12-01,1.021,1.547,,,,,,
1823-01-01,1.758,1.796,,,,,,
1823-02-01,1.966,1.93,,,,,,
1823-03-01,5.068,1.192,,,,,,
1823-04-01,7.665,1.677,,,,,,
1823-05-01,10.563,0.922,,,,,,
1823-06-01,13.958,1.125,,,,,,
1823-07-01,14.197,1.026,,,,,,
1823-08-01,13.13,0.694,,,,,,
1823-09-01,10.198,1.083,,,,,,
1823-10-01,7.642,1.24,,,,,,
1823-11-01,4.508,2.079,,,,,,
1823-12-01,1.971,1.583,,,,,,
1824-01-01,2.651,1.432,,,,,,
1824-02-01,2.679,1.784,,,,,,
1824-03-01,5.357,1.355,,,,,,
1824-04-01,8.375,1.288,,,,,,
1824-05-01,11.132,1.136,,,,,,
1824-06-01,13.427,1.953,,,,,,
1824-07-01,14.83,2.158,,,,,,
1824-08-01,13.437,0.924,,,,,,
1824-09-01,11.528,1.557,,,,,,
1824-10-01,8.197,0.774,,,,,,
1824-11-01,5.877,1.199,,,,,,
1824-12-01,5.076,1.814,,,,,,
1825-01-01,3.213,1.913,,,,,,
1825-02-01,3.092,1.479,,,,,,
1825-03-01,5.365,1.646,,,,,,
1825-04-01,8.988,1.964,,,,,,
1825-05-01,10.751,1.325,,,,,,
1825-06-01,13.765,1.049,,,,,,
1825-07-01,14.007,1.163,,,,,,
1825-08-01,13.269,1.335,,,,,,
1825-09-01,11.148,0.978,,,,,,
1825-10-01,7.979,1.261,,,,,,
1825-11-01,6.058,2.412,,,,,,
1825-12-01,3.037,1.569,,,,,,
1826-01-01,1.893,1.68,,,,,,
1826-02-01,1.533,1.619,,,,,,
1826-03-01,4.888,1.669,,,,,,
1826-04-01,8.403,2.204,,,,,,
1826-05-01,11.804,0.826,,,,,,
1826-06-01,13.02,1.539,,,,,,
1826-07-01,14.482,1.134,,,,,,
1826-08-01,13.109,1.511,,,,,,
1826-09-01,11.178,1.779,,,,,,
1826-10-01,8.459,1.789,,,,,,
1826-11-01,6.634,1.145,,,,,,
1826-12-01,4.876,1.82,,,,,,
1827-01-01,3.593,2.328,,,,,,
1827-02-01,4.415,1.952,,,,,,
1827-03-01,6.141,1.356,,,,,,
1827-04-01,9.429,2.669,,,,,,
1827-05-01,11.807,1.393,,,,,,
1827-06-01,13.548,1.228,,,,,,
1827-07-01,14.684,0.662,,,,,,
1827-08-01,13.694,0.79,,,,,,
1827-09-01,10.883,0.66,,,,,,
1827-10-01,8.51,1.222,,,,,,
1827-11-01,6.279,1.236,,,,,,
1827-12-01,2.722,1.827,,,,,,
1828-01-01,0.595,2.036,,,,,,
1828-02-01,1.853,2.002,,,,,,
1828-03-01,5.729,1.871,,,,,,
1828-04-01,8.737,1.471,,,,,,
1828-05-01,11.281,1.412,,,,,,
1828-06-01,14.124,1.081,,,,,,
1828-07-01,14.384,1.753,,,,,,
1828-08-01,13.635,0.975,,,,,,
1828-09-01,10.08,1.078,,,,,,
1828-10-01,8.656,1.832,,,,,,
1828-11-01,5.957,1.765,,,,,,
1828-12-01,2.953,2.505,,,,,,
1829-01-01,2.032,1.931,,,,,,
1829-02-01,1.715,1.959,,,,,,
1829-03-01,5.061,1.294,,,,,,
1829-04-01,7.815,1,,,,,,
1829-05-01,11.336,1.123,,,,,,
1829-06-01,12.86,1.312,,,,,,
1829-07-01,14.225,0.912,,,,,,
1829-08-01,13.399,0.86,,,,,,
1829-09-01,10.598,0.776,,,,,,
1829-10-01,8.806,1.312,,,,,,
1829-11-01,5.003,1.449,,,,,,
1829-12-01,2.452,1.909,,,,,,
1830-01-01,2.957,2.346,,,,,,
1830-02-01,4.085,1.896,,,,,,
1830-03-01,4.454,1.369,,,,,,
1830-04-01,8.841,1.098,,,,,,
1830-05-01,10.202,1.01,,,,,,
1830-06-01,12.827,1.718,,,,,,
1830-07-01,14.942,1.839,,,,,,
1830-08-01,13.386,0.643,,,,,,
1830-09-01,10.54,1.023,,,,,,
1830-10-01,7.993,1.18,,,,,,
1830-11-01,7.493,1.728,,,,,,
1830-12-01,4.481,1.327,,,,,,
1831-01-01,2.182,2.217,,,,,,
1831-02-01,2.479,3.541,,,,,,
1831-03-01,4.558,1.616,,,,,,
1831-04-01,7.731,0.908,,,,,,
1831-05-01,10.994,1.285,,,,,,
1831-06-01,13.203,1.882,,,,,,
1831-07-01,13.58,1.172,,,,,,
1831-08-01,12.49,0.793,,,,,,
1831-09-01,9.946,0.954,,,,,,
1831-10-01,7.83,1.068,,,,,,
1831-11-01,4.412,1.358,,,,,,
1831-12-01,2.265,1.584,,,,,,
1832-01-01,1.717,1.757,,,,,,
1832-02-01,1.833,1.656,,,,,,
1832-03-01,4.65,1.374,,,,,,
1832-04-01,8.059,1.059,,,,,,
1832-05-01,10.489,1.252,,,,,,
1832-06-01,12.857,1.126,,,,,,
1832-07-01,13.727,2.067,,,,,,
1832-08-01,11.966,1.309,,,,,,
1832-09-01,10.426,1.194,,,,,,
1832-10-01,8.634,0.983,,,,,,
1832-11-01,4.262,1.914,,,,,,
1832-12-01,0.782,2.794,,,,,,
1833-01-01,2.006,1.76,,,,,,
1833-02-01,2.815,1.354,,,,,,
1833-03-01,4.521,1.367,,,,,,
1833-04-01,7.869,1.076,,,,,,
1833-05-01,10.581,0.961,,,,,,
1833-06-01,13.049,0.883,,,,,,
1833-07-01,13.803,1.42,,,,,,
1833-08-01,13.222,0.835,,,,,,
1833-09-01,11.236,0.819,,,,,,
1833-10-01,7.9,1.108,,,,,,
1833-11-01,6.596,1.388,,,,,,
1833-12-01,2.558,1.831,,,,,,
1834-01-01,0.334,2.032,,,,,,
1834-02-01,2.329,1.483,,,,,,
1834-03-01,5.736,1.28,,,,,,
1834-04-01,8.085,1.11,,,,,,
1834-05-01,11.234,0.697,,,,,,
1834-06-01,12.799,0.761,,,,,,
1834-07-01,14.197,1.186,,,,,,
1834-08-01,13.412,0.866,,,,,,
1834-09-01,11.571,0.731,,,,,,
1834-10-01,8.617,0.773,,,,,,
1834-11-01,6.355,1.849,,,,,,
1834-12-01,3.092,1.059,,,,,,
1835-01-01,2.551,1.755,,,,,,
1835-02-01,2.967,1.464,,,,,,
1835-03-01,4.507,1.136,,,,,,
1835-04-01,7.769,1.079,,,,,,
1835-05-01,10.171,1.447,,,,,,
1835-06-01,12.007,0.992,,,,,,
1835-07-01,13.129,0.693,,,,,,
1835-08-01,12.322,0.805,,,,,,
1835-09-01,9.942,0.925,,,,,,
1835-10-01,7.835,1.021,,,,,,
1835-11-01,4.312,1.419,,,,,,
1835-12-01,1.198,2.568,,,,,,
1836-01-01,1.67,1.698,,,,,,
1836-02-01,2.371,1.611,,,,,,
1836-03-01,5.448,1.208,,,,,,
1836-04-01,7.315,0.983,,,,,,
1836-05-01,10.279,1.297,,,,,,
1836-06-01,12.549,0.893,,,,,,
1836-07-01,13.646,0.6,,,,,,
1836-08-01,12.83,1.362,,,,,,
1836-09-01,10.812,0.975,,,,,,
1836-10-01,8.756,1.131,,,,,,
1836-11-01,3.814,1.192,,,,,,
1836-12-01,2.86,1.083,,,,,,
1837-01-01,1.94,2.033,,,,,,
1837-02-01,2.619,1.893,,,,,,
1837-03-01,3.865,1.326,,,,,,
1837-04-01,6.556,1.017,,,,,,
1837-05-01,9.973,1.574,,,,,,
1837-06-01,12.099,0.798,,,,,,
1837-07-01,13.526,1.618,,,,,,
1837-08-01,13.018,1.224,,,,,,
1837-09-01,10.805,0.664,,,,,,
1837-10-01,7.653,0.851,,,,,,
1837-11-01,4.169,1.307,,,,,,
1837-12-01,2.285,1.186,,,,,,
1838-01-01,-0.557,1.999,,,,,,
1838-02-01,1.563,1.622,,,,,,
1838-03-01,3.723,1.472,,,,,,
1838-04-01,7.383,1.339,,,,,,
1838-05-01,9.985,0.822,,,,,,
1838-06-01,12.742,0.631,,,,,,
1838-07-01,14.367,0.884,,,,,,
1838-08-01,13.568,0.986,,,,,,
1838-09-01,11.106,0.889,,,,,,
1838-10-01,8.526,1.021,,,,,,
1838-11-01,5.16,1.044,,,,,,
1838-12-01,2.613,1.239,,,,,,
1839-01-01,2.156,1.681,,,,,,
1839-02-01,3.482,1.546,,,,,,
1839-03-01,2.673,1.493,,,,,,
1839-04-01,7.892,0.92,,,,,,
1839-05-01,10.289,0.68,,,,,,
1839-06-01,12.548,0.839,,,,,,
1839-07-01,14.411,0.942,,,,,,
1839-08-01,14.07,1.296,,,,,,
1839-09-01,10.853,0.714,,,,,,
1839-10-01,8.219,0.972,,,,,,
1839-11-01,3.92,1.451,,,,,,
1839-12-01,1.074,1.619,,,,,,
1840-01-01,2.561,1.468,,,,,,
1840-02-01,2.102,1.561,,,,,,
1840-03-01,4.04,1.469,,,,,,
1840-04-01,7.943,0.776,,,,,,
1840-05-01,11.173,0.698,,,,,,
1840-06-01,13.411,1.028,,,,,,
1840-07-01,14.714,0.462,,,,,,
1840-08-01,13.086,0.936,,,,,,
1840-09-01,11.01,0.586,,,,,,
1840-10-01,7.505,0.853,,,,,,
1840-11-01,4.101,0.982,,,,,,
1840-12-01,1.909,1.075,,,,,,
1841-01-01,0.649,1.761,,,,,,
1841-02-01,2.468,1.602,,,,,,
1841-03-01,3.307,1.324,,,,,,
1841-04-01,6.77,0.942,,,,,,
1841-05-01,10.764,0.573,,,,,,
1841-06-01,13.062,0.64,,,,,,
1841-07-01,14.552,0.737,,,,,,
1841-08-01,13.708,0.749,,,,,,
1841-09-01,10.921,0.583,,,,,,
1841-10-01,8.765,0.654,,,,,,
1841-11-01,4.744,0.878,,,,,,
1841-12-01,2.548,0.981,,,,,,
1842-01-01,1.636,1.64,,,,,,
1842-02-01,2.787,1.56,,,,,,
1842-03-01,5.75,1.164,,,,,,
1842-04-01,8.31,0.76,,,,,,
1842-05-01,10.535,0.643,,,,,,
1842-06-01,12.629,0.661,,,,,,
1842-07-01,13.584,0.509,,,,,,
1842-08-01,13.241,0.642,,,,,,
1842-09-01,10.94,0.677,,,,,,
1842-10-01,8.307,0.759,,,,,,
1842-11-01,4.824,0.792,,,,,,
1842-12-01,3.73,0.963,,,,,,
1843-01-01,2.974,1.212,,,,,,
1843-02-01,3.92,1.045,,,,,,
1843-03-01,4.744,0.88,,,,,,
1843-04-01,7.83,0.691,,,,,,
1843-05-01,10.04,0.636,,,,,,
1843-06-01,12.53,0.523,,,,,,
1843-07-01,13.991,0.545,,,,,,
1843-08-01,13.295,0.564,,,,,,
1843-09-01,11.326,0.534,,,,,,
1843-10-01,8.722,0.596,,,,,,
1843-11-01,4.947,0.775,,,,,,
1843-12-01,3.765,0.997,,,,,,
1844-01-01,1.868,1.17,,,,,,
1844-02-01,2.038,1.137,,,,,,
1844-03-01,4.734,0.999,,,,,,
1844-04-01,7.389,0.81,,,,,,
1844-05-01,10.109,0.648,,,,,,
1844-06-01,12.84,0.724,,,,,,
1844-07-01,13.921,0.605,,,,,,
1844-08-01,13.046,0.692,,,,,,
1844-09-01,10.819,0.817,,,,,,
1844-10-01,8.7,0.919,,,,,,
1844-11-01,4.401,1.327,,,,,,
1844-12-01,1.891,1.264,,,,,,
1845-01-01,2.661,1.364,,,,,,
1845-02-01,1.627,1.226,,,,,,
1845-03-01,4.651,0.882,,,,,,
1845-04-01,8.158,0.731,,,,,,
1845-05-01,10.433,0.772,,,,,,
1845-06-01,12.863,0.631,,,,,,
1845-07-01,14.319,0.725,,,,,,
1845-08-01,13.556,0.561,,,,,,
1845-09-01,11.234,0.536,,,,,,
1845-10-01,7.782,0.652,,,,,,
1845-11-01,5.194,1.155,,,,,,
1845-12-01,1.736,1.343,,,,,,
1846-01-01,3.213,1.47,,,,,,
1846-02-01,3.376,1.177,,,,,,
1846-03-01,6.314,1.031,,,,,,
1846-04-01,7.473,1.729,,,,,,
1846-05-01,10.896,0.844,,,,,,
1846-06-01,13.53,1.143,,,,,,
1846-07-01,14.923,0.737,,,,,,
1846-08-01,14.121,0.765,,,,,,
1846-09-01,11.738,0.716,,,,,,
1846-10-01,8.229,0.876,,,,,,
1846-11-01,5.044,1.039,,,,,,
1846-12-01,3.776,1.094,,,,,,
1847-01-01,2.753,1.269,,,,,,
1847-02-01,3.602,1.383,,,,,,
1847-03-01,4.046,1.583,,,,,,
1847-04-01,7.98,0.998,,,,,,
1847-05-01,10.622,0.752,,,,,,
1847-06-01,12.828,0.428,,,,,,
1847-07-01,14.25,0.6,,,,,,
1847-08-01,13.414,0.657,,,,,,
1847-09-01,11.619,0.528,,,,,,
1847-10-01,8.618,0.844,,,,,,
1847-11-01,5.574,0.778,,,,,,
1847-12-01,1.726,0.988,,,,,,
1848-01-01,0.51,1.341,,,,,,
1848-02-01,3.726,1.437,,,,,,
1848-03-01,4.806,0.967,,,,,,
1848-04-01,8.11,1.054,,,,,,
1848-05-01,10.58,0.584,,,,,,
1848-06-01,13.247,0.583,,,,,,
1848-07-01,14.466,0.613,,,,,,
1848-08-01,13.268,0.709,,,,,,
1848-09-01,10.997,0.623,,,,,,
1848-10-01,8.655,0.837,,,,,,
1848-11-01,5.29,0.748,,,,,,
1848-12-01,2.099,0.96,,,,,,
1849-01-01,1.941,1.308,,,,,,
1849-02-01,2.638,1.345,,,,,,
1849-03-01,5.302,1.06,,,,,,
1849-04-01,7.028,0.845,,,,,,
1849-05-01,10.159,0.644,,,,,,
1849-06-01,13,0.659,,,,,,
1849-07-01,14.458,0.678,,,,,,
1849-08-01,13.603,0.902,,,,,,
1849-09-01,11.093,0.568,,,,,,
1849-10-01,8.89,0.733,,,,,,
1849-11-01,5.778,1.313,,,,,,
1849-12-01,1.923,0.908,,,,,,
1850-01-01,0.749,1.105,8.242,1.738,-3.206,2.822,12.833,0.367
1850-02-01,3.071,1.275,9.97,3.007,-2.291,1.623,13.588,0.414
1850-03-01,4.954,0.955,10.347,2.401,-1.905,1.41,14.043,0.341
1850-04-01,7.217,0.665,12.934,1.004,1.018,1.329,14.667,0.267
1850-05-01,10.004,0.617,15.655,2.406,3.811,1.347,15.507,0.249
1850-06-01,13.15,0.614,18.946,2.817,7.106,0.857,16.353,0.245
1850-07-01,14.492,0.614,19.233,2.84,8.014,0.786,16.783,0.238
1850-08-01,14.039,0.802,18.477,2.079,7.406,1.086,16.718,0.28
1850-09-01,11.505,0.675,15.846,2.692,4.533,1.798,15.886,0.254
1850-10-01,8.091,0.863,13.189,2.338,2.013,2.133,14.831,0.297
1850-11-01,4.733,1.149,11.388,3.491,-0.12,1.069,13.897,0.368
1850-12-01,2.803,1.183,7.493,1.925,-2.807,2.594,13.3,0.378
1851-01-01,2.431,1.122,8.951,2.399,-2.443,1.771,13.245,0.362
1851-02-01,2.508,1.1,9.808,2.654,-1.507,2.714,13.331,0.361
1851-03-01,4.192,0.971,11.507,2.037,-0.7,1.611,13.897,0.33
1851-04-01,7.287,0.829,14.236,1.97,2.331,1.281,14.64,0.298
1851-05-01,11.113,0.936,15.01,3.184,4.136,1.011,15.771,0.322
1851-06-01,13.418,0.655,17.288,3.187,6.374,1.13,16.496,0.261
1851-07-01,14.531,0.606,17.103,3.751,7.425,1.48,16.831,0.244
1851-08-01,13.751,0.775,17.361,1.392,6.595,1.281,16.621,0.276
1851-09-01,11.677,0.581,16.36,2.496,5.525,1.643,16.058,0.25
1851-10-01,9.122,1.058,14.961,1.915,3.298,1.297,15.213,0.358
1851-11-01,4.973,0.968,7.951,1.833,-1.345,1.527,14.161,0.344
1851-12-01,3.14,0.982,6.436,1.949,-3.242,2.843,13.638,0.339
1852-01-01,2.376,1.389,8.474,4.24,-2.755,1.705,13.231,0.438
1852-02-01,2.54,1.115,8.569,2.737,-2.337,1.78,13.311,0.371
1852-03-01,3.884,0.915,9.215,2.88,-2.491,1.471,13.736,0.317
1852-04-01,7.487,1.158,11.249,1.491,0.647,1.256,14.786,0.377
1852-05-01,11.169,0.855,15.835,2.805,4.624,0.971,15.899,0.298
1852-06-01,13.164,0.636,17.76,1.925,6.705,0.683,16.619,0.243
1852-07-01,14.512,0.778,17.795,2.924,7.57,1.35,16.984,0.278
1852-08-01,13.304,0.766,17.567,1.812,7.429,1.222,16.566,0.277
1852-09-01,11.478,0.689,16.665,1.407,5.742,1.51,16.038,0.261
1852-10-01,8.91,0.654,14.849,1.498,2.813,0.963,15.178,0.25
1852-11-01,4.593,0.693,12.009,4.373,0.736,1.48,13.948,0.26
1852-12-01,3.785,1.371,10.781,3.339,-0.639,2.204,13.782,0.427
1853-01-01,1.786,1.108,8.972,2.461,-2.818,1.556,13.143,0.356
1853-02-01,2.228,1.492,8.29,1.535,-3.213,1.783,13.362,0.457
1853-03-01,4.078,0.918,10.325,2.294,-1.966,1.494,14.033,0.306
1853-04-01,7.541,0.824,13.72,2.69,1.655,1.15,14.919,0.283
1853-05-01,10.975,0.743,16.543,3.36,4.364,0.782,15.793,0.261
1853-06-01,13.41,0.674,18.611,1.124,6.944,1.418,16.455,0.24
1853-07-01,14.645,0.659,18.923,2.058,6.933,1.195,16.999,0.238
1853-08-01,13.953,0.723,19.308,1.2,7.273,0.879,16.789,0.25
1853-09-01,11.71,0.749,17.691,1.847,5.779,0.928,15.942,0.259
1853-10-01,8.535,0.546,14.757,2.451,1.85,2.277,14.874,0.211
1853-11-01,4.783,0.868,11.269,2.15,-0.076,1.277,13.829,0.29
1853-12-01,2.858,0.716,8.23,1.971,-4.015,1.528,13.324,0.255
1854-01-01,1.281,0.977,8.786,2.589,-3.552,1.362,12.983,0.313
1854-02-01,1.941,1.08,8.508,1.863,-4.109,1.467,13.248,0.342
1854-03-01,4.698,0.789,10.469,2.107,-1.413,1.517,14.089,0.267
1854-04-01,7.622,0.674,13.402,2.16,0.566,1.25,14.945,0.242
1854-05-01,11.095,0.638,16.748,1.513,4.184,1.306,15.793,0.233
1854-06-01,12.829,0.533,18.188,0.964,6.493,0.902,16.286,0.206
1854-07-01,14.692,0.85,20.426,1.853,7.89,0.912,16.775,0.282
1854-08-01,13.889,0.898,19.291,1.36,7.303,1.021,16.707,0.288
1854-09-01,11.514,0.552,17.357,1.142,5.554,1.22,16.098,0.21
1854-10-01,9.763,0.964,15.341,1.312,3.033,1.229,15.378,0.309
1854-11-01,5.745,0.786,10.707,1.954,-1.406,1.635,14.123,0.261
1854-12-01,3.457,1.167,8.506,2.583,-3.397,2.463,13.467,0.364
1855-01-01,2.522,1.465,8.22,1.099,-3.125,1.699,13.384,0.442
1855-02-01,2.982,1.322,7.604,3.083,-4.947,2.343,13.646,0.402
1855-03-01,4.617,0.898,10.16,1.69,-1.865,1.338,14.172,0.294
